wala,wac,n0,k_term
194.0,4.478,999.0,864
194.0,4.933,28342.0,26278
194.0,5.298,54374.0,51869
196.0,5.845,2230.0,2091
205.0,6.404,443.0,411
208.0,6.889,253.0,247
194.0,4.437,782.0,715
193.0,4.924,38381.0,36584
193.0,5.292,70523.0,67835
194.0,5.816,2386.0,2133
213.0,6.58,668.0,655
221.0,6.939,187.0,184
218.0,7.354,34.0,33
192.0,4.451,1091.0,973
192.0,4.928,46516.0,41458
192.0,5.293,70180.0,66934
195.0,5.818,2594.0,2484
238.0,6.454,1440.0,1391
247.0,6.975,1103.0,1074
191.0,4.509,830.0,715
191.0,4.933,42894.0,40469
190.0,5.0,1149.0,981
191.0,5.292,77965.0,70448
